stream_id,category,year10_booked_revenue_usd_b,year10_direct_operating_cash_usd_b,year10_second_order_benefit_not_booked_usd_b,measurement_surface,second_order_channels
pilgrim_logistics_services,Direct booked tourism revenue,1.00,0.22,1.10,"Visitor corridor bookings, transport bundles, site-service receipts, sanitation contracts, guide registry, merchant settlement","SME food and retail sales; local transport jobs; sanitation and safety services; repeat visitor confidence."
cultural_site_services,Direct booked tourism revenue,0.40,0.13,0.45,"Museum/site tickets, event permits, guide credentials, cultural route packages, local merchant receipts","Crafts, restaurants, local guides, heritage maintenance, municipal service demand."
hospitality_jv_revenue_share,Direct booked tourism revenue,0.90,0.20,1.00,"Hotel occupancy, serviced-apartment receipts, JV accounts, concession fees, tax/levy records","Construction inputs, laundry, food supply, maintenance, training, private hospitality employment."
tourism_platform_fx_services,Direct booked tourism revenue,0.30,0.10,0.55,"Booking fees, FX source tags, foreign-card settlement, Digital IQD merchant payout, insurance and compliance fees","Formal FX capture, merchant formalization, AML visibility, tax base, visitor analytics."
tradable_services_exports,Direct booked tourism revenue,0.40,0.10,0.80,"Healthcare, education, repair, design, professional, software, and business-service invoices paid by foreign or diaspora customers","High-skill employment, local supplier demand, diaspora commerce, non-oil service exports."
food_retail_supply_chain,Second-order benefit only,0.00,0.00,0.95,"Aggregated merchant spend, restaurant purchases, food supplier invoices, cold-chain receipts, local-content attestations","Visitor demand supports agriculture, food processing, packaging, cold chain, and SME credit history."
transport_rail_utilization,Second-order benefit only,0.00,0.00,0.55,"Ridership, feeder bus payments, airport/rail transfers, corridor congestion metrics, fare settlement","Improves rail/bus asset utilization and lowers per-passenger operating cost."
urban_services_and_municipal_revenue,Second-order benefit only,0.00,0.00,0.35,"Waste, water, lighting, cleaning, safety, public-toilet, and street-maintenance service contracts","Tourism creates a priced reason to maintain public space and improves resident services."
tax_credit_and_formalization,Second-order benefit only,0.00,0.00,0.45,"Merchant tax settlement, e-invoices, wallet turnover, bank receivables, repayment records","Visitor spending turns informal merchants into taxpayers and bankable borrowers."
brand_repeat_visit_and_investment_option,Second-order benefit only,0.00,0.00,0.40,"Visitor ratings, repeat bookings, investor leads, diaspora merchant accounts, event pipeline","Improves country brand, diaspora confidence, hotel investment, and service-export channels."
